NON-CRIMINAL (SUBJECT SPECIFIED)
PUBLIC INDECENCY
NON - CRIMINAL
CONCEALED CARRY LICENSE VIOLATION
OTHER NARCOTIC VIOLATION
NON-CRIMINAL
STALKING
INTIMIDATION
KIDNAPPING
OBSCENITY
HOMICIDE
PROSTITUTION
GAMBLING
ARSON
LIQUOR LAW VIOLATION
PUBLIC PEACE VIOLATION
INTERFERENCE WITH PUBLIC OFFICER
WEAPONS VIOLATION
NARCOTICS
CRIM SEXUAL ASSAULT
ROBBERY
BURGLARY
SEX OFFENSE
CRIMINAL TRESPASS
CRIMINAL DAMAGE
BATTERY
MOTOR VEHICLE THEFT
OTHER OFFENSE
OFFENSE INVOLVING CHILDREN
ASSAULT
DECEPTIVE PRACTICE
THEFT
